Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
,,1.0,,,,5.5,,3.0,-1.3010299956639813,0.0,0.05,1.0,-1.3979400086720375,0.04,0.3010299956639812,2.0,6.29073003902417,93.55699999999999,0.0,0.0,3.9375,9.007600565642283,0.0,0.0,0.0,6.076020106833881,4.909722222222222,6.544756405912575,-0.3270522846975318,0.0,12.654955790432378,,40.5,52.0,26.0,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,-1.6062332057860043,10077
,,1.0,,,,5.5,,3.0,-1.3010299956639813,0.0,0.05,1.0,-1.3979400086720375,0.04,0.3010299956639812,2.0,6.29073003902417,93.55699999999999,0.0,0.0,3.9375,9.007600565642283,0.0,0.0,0.0,6.076020106833881,4.909722222222222,6.544756405912575,-0.3270522846975318,0.0,12.654955790432378,226.0,52.0,40.5,26.0,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,-1.6062332057860043,10078
,,1.0,,,0.0,,,3.0,,,,,,,-2.0,0.01,2.3344537511509307,,,,,,,,,,,,,,,,40.5,,,,6.0,,-0.254557430614467,-0.254557430614467,,10079
,,1.0,,,0.0,,,3.0,,,,,,,-2.0,0.01,2.3344537511509307,,,,,,,,,,,,,,,,40.5,,,,6.0,0.0,-0.254557430614467,-0.254557430614467,,10080
,,1.0,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,389.0,160.0,29.5,,,11.50371351935836,8.547465986394558,-0.48008628646213053,0.32247070702770475,,10081
0.02,3.4000000000000007e-05,1.0,,,,7,25.0,,-2.5228787452803374,-1.5228787452803376,0.003,0.03,-1.5228787452803376,0.03,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10082
,,3.0,,,,,4.0,,,,,,-0.6020599913279624,0.25,,,,,,,,,,,,,,,,,,,40.5,,,,6.0,,-0.254557430614467,-0.254557430614467,,10083
,,3.0,,,,,4.0,,,,,,-0.6020599913279624,0.25,,,,,,,,,,,,,,,,,,,40.5,,,,6.0,,-0.254557430614467,-0.254557430614467,,10084
,,1.0,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,40.5,,,,6.0,,-0.254557430614467,-0.254557430614467,,10085
,,1.0,,,,,,,,,,,-0.6020599913279624,0.25,,,,,,,,,,,,,,,,,,389.0,160.0,,,,11.50371351935836,,-0.48008628646213053,0.32247070702770475,,10086
