Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
0.029,,catalase,2.6031034482758626,0.8317241379310344,-0.14137931034482756,6.5,25.0,3.0,,,,,1.0,10.0,,,5.70926996097583,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,,40.5,,20.3,0.4,6.0,,-0.254557430614467,-0.254557430614467,-2.048432760843659,10049
,,catalase,2.6666666666666665,1.1766666666666667,-0.29,,50.0,3.0,,,,,,,,,2.3344537511509307,,,,,,,,,,,,,,,,,,,,,,,,,10050
,,peroxidase,2.455,1.1233333333333333,-0.9033333333333333,7.4,4.0,,,,,,-0.6020599913279624,0.25,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10051
,,peroxidase,2.455,1.1233333333333333,-0.9033333333333333,7.4,4.0,,,,,,-0.6020599913279624,0.25,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10052
0.08,0.0006,peroxidase,2.81,1.1016666666666668,0.016333333333333335,3.5,25.0,,-3.0,0.0,0.001,1.0,0.47712125471966244,3.0,,,,62.068000000000005,0.0,13.213763929025836,-0.25,2.92,1.9747448713915894,0.125,-0.125,0.0,0.0,0.0,-0.3939905415754596,0.0,0.0,910.0,209.0,40.5,40.5,-1.4,11.447015664231106,6.0,-0.34392573610777344,0.29406472784425514,-1.6990667974042981,10053
0.06,0.0006,peroxidase,2.81,1.1016666666666668,0.016333333333333335,3.5,25.0,,-2.0,0.47712125471966244,0.01,3.0,0.0,1.0,,,,62.068000000000005,0.0,13.213763929025836,-0.25,2.92,1.9747448713915894,0.125,-0.125,0.0,0.0,0.0,-0.3939905415754596,0.0,0.0,,40.5,209.0,40.5,-1.4,6.0,11.447015664231106,-0.254557430614467,-0.254557430614467,-1.6990667974042981,10054
,,peroxidase,2.55,0.3,0.0,4.0,25.0,3.0,-5.0,-0.3010299956639812,1e-05,0.5,0.9030899869919435,8.0,-0.3010299956639812,0.5,4.431363764158987,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10055
,,peroxidase,2.55,0.3,0.0,4.0,37.0,3.0,-3.3010299956639813,0.0,0.0005,1.0,0.9030899869919435,8.0,-0.3010299956639812,0.5,4.431363764158987,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10056
,,peroxidase,2.55,0.3,0.0,4.0,25.0,3.0,-3.3010299956639813,0.0,0.0005,1.0,1.3010299956639813,20.0,-0.3010299956639812,0.5,4.431363764158987,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10057
,,peroxidase,2.55,0.3,0.0,4.0,25.0,3.0,-2.0,-1.1249387366083,0.01,0.075,1.3010299956639813,20.0,-0.3010299956639812,0.5,4.431363764158987,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10058
,,peroxidase,2.547894736842105,,0.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,29.5,1.0,,,7.902777777777778,4.110123456790124,-0.25128452377062555,0.09490981168034845,,10059
,,peroxidase,2.4924,,0.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,29.5,1.0,,,7.902777777777778,4.110123456790124,-0.25128452377062555,0.09490981168034845,,10060
0.17,,peroxidase,2.455,1.1233333333333333,-0.9033333333333333,7.0,30.0,,,,,,-0.7695510786217261,0.17,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10061
0.17,,peroxidase,2.455,1.1233333333333333,-0.9033333333333333,7.0,30.0,,,,,,-0.7695510786217261,0.17,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10062
,,peroxidase,2.75,1.1142857142857143,-0.015428571428571427,3.0,25.0,3.0,-4.3979400086720375,-1.6989700043360187,4e-05,0.02,0.146128035678238,1.4,0.0,1.0,7.632204133050827,,,,,,,,,,,,,,,,40.5,,,,6.0,0.0,-0.254557430614467,-0.254557430614467,,10063
,,peroxidase,2.75,1.1142857142857143,-0.015428571428571427,7.0,25.0,3.0,-4.301029995663981,-2.0,5e-05,0.01,0.146128035678238,1.4,0.0,1.0,7.632204133050827,,,,,,,,,,,,,,,151.0,110.0,34.1,,,9.119537037037038,7.0,-0.3935665160029449,0.183570328512782,,10064
,,peroxidase,2.75,1.1142857142857143,-0.015428571428571427,3.0,25.0,3.0,-4.0,-1.5228787452803376,0.0001,0.03,-2.0969100130080562,0.008,0.0,1.0,7.632204133050827,,,,,,,,,,,,,,,123.0,66.1,40.5,,,10.036148904006048,6.0,-0.5079581647909615,0.2691949560161654,,10065
